session_id,participant_id,marker_id,object_name,target_word,modality,phase,timestamp
1,1,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 11:48:58
2,1,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 11:49:21
3,1,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 11:49:30
4,1,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 11:50:26
5,1,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 11:50:35
6,1,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 11:50:45
7,1,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 11:52:29
8,1,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 11:52:39
9,1,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 11:52:49
10,1,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 12:04:56
11,2,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 12:24:48
12,2,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 12:25:10
13,2,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 12:25:29
14,2,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 12:25:37
15,2,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 12:26:09
16,2,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 12:26:24
17,2,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 12:26:41
18,2,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 12:26:57
19,2,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 12:27:12
20,2,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 12:27:27
21,3,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 12:47:28
22,3,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 12:47:46
23,3,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 12:48:18
24,3,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 12:48:49
25,3,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 12:49:11
26,3,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 12:50:24
27,3,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 12:50:46
28,3,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 12:51:03
29,3,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 12:51:21
30,3,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 12:51:35
31,3,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 12:51:55
32,4,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 15:47:21
33,4,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 15:50:10
34,4,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 15:50:44
35,4,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 15:51:01
36,4,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 15:51:17
37,4,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 15:51:24
38,4,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 15:52:06
39,4,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 15:52:25
40,4,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 15:52:45
41,4,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 15:53:07
42,4,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 15:53:20
43,4,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 15:53:33
44,5,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 15:54:58
45,5,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 15:58:18
46,5,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 15:58:38
47,5,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 15:59:20
48,5,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 15:59:38
49,5,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 15:59:52
50,5,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 16:00:13
51,5,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 16:00:27
52,5,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 16:00:44
53,5,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 16:02:11
54,5,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 16:05:45
55,5,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 16:06:25
56,5,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 16:06:39
57,5,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 16:07:18
58,5,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 16:07:30
59,5,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 16:07:41
60,5,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:07:53
61,5,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:08:03
62,5,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:08:12
63,7,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 16:13:25
64,7,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 16:13:36
65,7,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 16:13:45
66,7,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 16:14:03
67,7,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 16:14:32
68,7,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 16:14:44
69,7,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 16:15:01
70,7,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:15:16
71,7,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:15:31
72,7,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:15:47
73,8,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 16:18:36
74,8,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 16:19:14
75,8,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 16:19:35
76,8,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 16:20:05
77,8,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 16:20:19
78,8,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 16:20:29
79,8,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:20:43
80,8,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:20:55
81,8,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:21:08
82,9,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 16:29:52
83,9,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 16:30:02
84,9,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 16:30:25
85,9,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 16:31:50
86,9,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 16:32:05
87,9,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 16:32:15
88,9,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:32:29
89,9,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:32:40
90,9,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:32:50
91,10,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 17:17:19
92,10,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-12 17:17:35
93,10,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-12 17:17:52
94,10,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 17:18:17
95,10,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 17:18:31
96,10,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 17:18:42
97,10,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 17:18:54
98,10,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 17:19:04
99,10,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 17:19:16
100,10,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-15 17:18:40
101,11,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-15 17:26:33
102,11,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-15 17:55:43
103,11,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-15 17:57:20
104,11,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-15 17:57:43
105,11,PRACTICE_PEAR,pear,pară,TRADITIONAL_TEXT_AUDIO,practice,2025-12-15 17:58:07
106,11,PRACTICE_GLOVES,gloves,mânuși,AR_TEXT_AUDIO,practice,2025-12-15 17:58:56
107,11,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-15 17:59:45
108,11,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-15 17:59:58
109,11,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-15 18:00:09
110,11,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-15 18:00:21
111,11,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-15 18:00:31
112,11,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-15 18:00:42
